[2023-11-23 15:58:14,944] MFFTP: success to link "ftp.ifremer.fr"
[2023-11-23 16:04:44,625] MFFTP: success to download "D2901620_116.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:47,070] MFFTP: success to download "D2901620_117.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:49,540] MFFTP: success to download "D2901620_118.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:51,981] MFFTP: success to download "D2901620_119.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:54,419] MFFTP: success to download "D2901620_120.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:56,859] MFFTP: success to download "D2901620_121.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:04:59,329] MFFTP: success to download "D2901620_122.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:01,812] MFFTP: success to download "D2901620_123.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:04,237] MFFTP: success to download "D2901620_124.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:06,678] MFFTP: success to download "D2901620_125.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:09,263] MFFTP: success to download "D2901620_126.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:11,714] MFFTP: success to download "D2901620_127.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:14,168] MFFTP: success to download "D2901620_128.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:16,608] MFFTP: success to download "D2901620_129.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:19,097] MFFTP: success to download "D2901620_130.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:21,569] MFFTP: success to download "D2901620_131.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:23,999] MFFTP: success to download "D2901620_132.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:26,425] MFFTP: success to download "D2901620_133.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:28,868] MFFTP: success to download "D2901620_134.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:31,336] MFFTP: success to download "D2901620_135.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:33,804] MFFTP: success to download "D2901620_136.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:36,283] MFFTP: success to download "D2901620_137.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:40,303] MFFTP: success to download "D2901620_138.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:42,739] MFFTP: success to download "D2901620_139.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:45,200] MFFTP: success to download "D2901620_140.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:47,639] MFFTP: success to download "D2901620_141.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:50,064] MFFTP: success to download "D2901620_142.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:52,494] MFFTP: success to download "D2901620_143.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
[2023-11-23 16:05:55,194] MFFTP: success to download "D2901620_144.nc" from "/ifremer/argo/dac/nmdis/2901620/profiles" to "raw_argo_data/2901620"
